Typical Measured Spectrum of Semrock FF01-549/15 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
301.0	2.7103e-07
301.2	2.6798e-07
301.4	2.6495e-07
301.6	2.6197e-07
301.8	2.5901e-07
302.0	2.5609e-07
302.2	2.532e-07
302.4	2.5035e-07
302.6	2.4752e-07
302.8	2.4473e-07
303.0	2.4197e-07
303.2	2.3924e-07
303.4	2.3669e-07
303.6	2.3421e-07
303.8	2.3177e-07
304.0	2.2934e-07
304.2	2.2695e-07
304.4	2.2457e-07
304.6	2.2223e-07
304.8	2.199e-07
305.0	2.1761e-07
305.2	2.1533e-07
305.4	2.1308e-07
305.6	2.1085e-07
305.8	2.0865e-07
306.0	2.0678e-07
306.2	2.0655e-07
306.4	2.0633e-07
306.6	2.0611e-07
306.8	2.0588e-07
307.0	2.0566e-07
307.2	2.0543e-07
307.4	2.0521e-07
307.6	2.0499e-07
307.8	2.0476e-07
308.0	2.0454e-07
308.2	2.0432e-07
308.4	2.041e-07
308.6	2.0388e-07
308.8	2.0365e-07
309.0	2.0343e-07
309.2	2.0321e-07
309.4	2.0299e-07
309.6	2.0277e-07
309.8	2.0188e-07
310.0	2.0095e-07
310.2	2.0002e-07
310.4	1.991e-07
310.6	1.9818e-07
310.8	1.9727e-07
311.0	1.9636e-07
311.2	1.9545e-07
311.4	1.9455e-07
311.6	1.9366e-07
311.8	1.9276e-07
312.0	1.9187e-07
312.2	1.9099e-07
312.4	1.9011e-07
312.6	1.8923e-07
312.8	1.8836e-07
313.0	1.8749e-07
313.2	1.8663e-07
313.4	2.0575e-07
313.6	2.3674e-07
313.8	2.7241e-07
314.0	3.1344e-07
314.2	3.6065e-07
314.4	4.1498e-07
314.6	4.7749e-07
314.8	5.4941e-07
315.0	6.3217e-07
315.2	7.274e-07
315.4	8.3697e-07
315.6	9.6305e-07
315.8	1.1081e-06
316.0	1.2461e-06
316.2	1.2022e-06
316.4	1.1597e-06
316.6	1.1188e-06
316.8	1.0793e-06
317.0	1.0412e-06
317.2	1.0044e-06
317.4	9.6899e-07
317.6	9.3478e-07
317.8	9.0178e-07
318.0	8.6995e-07
318.2	8.3924e-07
318.4	8.0962e-07
318.6	7.8104e-07
318.8	7.5347e-07
319.0	7.2687e-07
319.2	7.0121e-07
319.4	6.7646e-07
319.6	6.5258e-07
319.8	6.0742e-07
320.0	5.6386e-07
320.2	5.2342e-07
320.4	4.8588e-07
320.6	4.5104e-07
320.8	4.1869e-07
321.0	3.8866e-07
321.2	3.6079e-07
321.4	3.3492e-07
321.6	3.109e-07
321.8	2.886e-07
322.0	2.6791e-07
322.2	2.4869e-07
322.4	2.3086e-07
322.6	2.143e-07
322.8	1.9893e-07
323.0	1.8467e-07
323.2	1.7142e-07
323.4	1.8455e-07
323.6	2.0989e-07
323.8	2.387e-07
324.0	2.7146e-07
324.2	3.0872e-07
324.4	3.511e-07
324.6	3.9929e-07
324.8	4.5409e-07
325.0	5.1642e-07
325.2	5.8731e-07
325.4	6.6792e-07
325.6	7.596e-07
325.8	8.6387e-07
326.0	9.4301e-07
326.2	8.3666e-07
326.4	7.4231e-07
326.6	6.586e-07
326.8	5.8433e-07
327.0	5.1843e-07
327.2	4.5997e-07
327.4	4.0809e-07
327.6	3.6207e-07
327.8	3.2124e-07
328.0	2.8501e-07
328.2	2.5287e-07
328.4	2.2435e-07
328.6	1.9905e-07
328.8	1.7661e-07
329.0	1.5669e-07
329.2	1.3902e-07
329.4	1.2334e-07
329.6	1.0943e-07
329.8	1.1899e-07
330.0	1.3107e-07
330.2	1.4438e-07
330.4	1.5904e-07
330.6	1.7518e-07
330.8	1.9297e-07
331.0	2.1256e-07
331.2	2.3415e-07
331.4	2.5792e-07
331.6	2.8411e-07
331.8	3.1295e-07
332.0	3.4473e-07
332.2	3.7973e-07
332.4	4.1828e-07
332.6	4.6075e-07
332.8	5.0754e-07
333.0	5.5907e-07
333.2	6.1583e-07
333.4	6.5517e-07
333.6	6.872e-07
333.8	7.2079e-07
334.0	7.5602e-07
334.2	7.9298e-07
334.4	8.3174e-07
334.6	8.7239e-07
334.8	9.1504e-07
335.0	9.5977e-07
335.2	1.0067e-06
335.4	1.0559e-06
335.6	1.1075e-06
335.8	1.1616e-06
336.0	1.1851e-06
336.2	1.0335e-06
336.4	9.0128e-07
336.6	7.8597e-07
336.8	6.8541e-07
337.0	5.9772e-07
337.2	5.2125e-07
337.4	4.5456e-07
337.6	3.964e-07
337.8	3.4569e-07
338.0	3.0146e-07
338.2	2.6289e-07
338.4	2.2926e-07
338.6	1.9993e-07
338.8	1.7435e-07
339.0	1.5204e-07
339.2	1.3259e-07
339.4	1.1563e-07
339.6	1.0083e-07
339.8	9.7096e-08
340.0	9.4309e-08
340.2	9.1602e-08
340.4	8.8972e-08
340.6	8.6418e-08
340.8	8.3937e-08
341.0	8.1527e-08
341.2	7.9187e-08
341.4	7.6914e-08
341.6	7.4705e-08
341.8	7.2561e-08
342.0	7.0478e-08
342.2	6.8455e-08
342.4	6.6489e-08
342.6	6.4581e-08
342.8	6.2727e-08
343.0	6.0926e-08
343.2	5.9177e-08
343.4	6.6652e-08
343.6	8.0235e-08
343.8	9.6587e-08
344.0	1.1627e-07
344.2	1.3997e-07
344.4	1.6849e-07
344.6	2.0283e-07
344.8	2.4416e-07
345.0	2.9392e-07
345.2	3.5382e-07
345.4	4.2593e-07
345.6	5.1274e-07
345.8	6.1723e-07
346.0	7.2037e-07
346.2	6.9517e-07
346.4	6.7084e-07
346.6	6.4737e-07
346.8	6.2472e-07
347.0	6.0286e-07
347.2	5.8177e-07
347.4	5.6141e-07
347.6	5.4177e-07
347.8	5.2282e-07
348.0	5.0452e-07
348.2	4.8687e-07
348.4	4.6984e-07
348.6	4.534e-07
348.8	4.3753e-07
349.0	4.2222e-07
349.2	4.0745e-07
349.4	3.9319e-07
349.6	3.7944e-07
349.8	3.7025e-07
350.0	3.616e-07
350.2	3.5316e-07
350.4	3.4492e-07
350.6	3.3687e-07
350.8	3.29e-07
351.0	3.2132e-07
351.2	3.1382e-07
351.4	3.065e-07
351.6	2.9934e-07
351.8	2.9235e-07
352.0	2.8553e-07
352.2	2.7886e-07
352.4	2.7235e-07
352.6	2.66e-07
352.8	2.5979e-07
353.0	2.5372e-07
353.2	2.478e-07
353.4	2.2823e-07
353.6	2.0523e-07
353.8	1.8455e-07
354.0	1.6595e-07
354.2	1.4922e-07
354.4	1.3419e-07
354.6	1.2066e-07
354.8	1.085e-07
355.0	9.7567e-08
355.2	8.7735e-08
355.4	7.8893e-08
355.6	7.0942e-08
355.8	6.3793e-08
356.0	5.8405e-08
356.2	5.857e-08
356.4	5.8736e-08
356.6	5.8902e-08
356.8	5.9069e-08
357.0	5.9236e-08
357.2	5.9403e-08
357.4	5.9571e-08
357.6	5.974e-08
357.8	5.9909e-08
358.0	6.0078e-08
358.2	6.0248e-08
358.4	6.0419e-08
358.6	6.059e-08
358.8	6.0761e-08
359.0	6.0933e-08
359.2	6.1105e-08
359.4	6.1278e-08
359.6	6.1451e-08
359.8	6.1315e-08
360.0	6.1158e-08
360.2	6.1001e-08
360.4	6.0844e-08
360.6	6.0688e-08
360.8	6.0532e-08
361.0	6.0377e-08
361.2	6.0222e-08
361.4	6.0067e-08
361.6	5.9913e-08
361.8	5.9759e-08
362.0	5.9606e-08
362.2	5.9453e-08
362.4	5.93e-08
362.6	5.9148e-08
362.8	5.8996e-08
363.0	5.8845e-08
363.2	5.8694e-08
363.4	5.8741e-08
363.6	5.8872e-08
363.8	5.9003e-08
364.0	5.9134e-08
364.2	5.9265e-08
364.4	5.9397e-08
364.6	5.9529e-08
364.8	5.9662e-08
365.0	5.9794e-08
365.2	5.9927e-08
365.4	6.0061e-08
365.6	6.0194e-08
365.8	6.0328e-08
366.0	6.1481e-08
366.2	6.8186e-08
366.4	7.5622e-08
366.6	8.3869e-08
366.8	9.3016e-08
367.0	1.0316e-07
367.2	1.1441e-07
367.4	1.2689e-07
367.6	1.4072e-07
367.8	1.5607e-07
368.0	1.7309e-07
368.2	1.9197e-07
368.4	2.129e-07
368.6	2.3612e-07
368.8	2.6187e-07
369.0	2.9043e-07
369.2	3.2211e-07
369.4	3.5723e-07
369.6	3.9619e-07
369.8	4.1323e-07
370.0	4.2931e-07
370.2	4.4601e-07
370.4	4.6337e-07
370.6	4.814e-07
370.8	5.0014e-07
371.0	5.196e-07
371.2	5.3982e-07
371.4	5.6083e-07
371.6	5.8265e-07
371.8	6.0533e-07
372.0	6.2888e-07
372.2	6.5335e-07
372.4	6.7878e-07
372.6	7.0519e-07
372.8	7.3264e-07
373.0	7.6115e-07
373.2	7.9077e-07
373.4	7.6636e-07
373.6	7.2239e-07
373.8	6.8095e-07
374.0	6.4189e-07
374.2	6.0507e-07
374.4	5.7036e-07
374.6	5.3764e-07
374.8	5.068e-07
375.0	4.7772e-07
375.2	4.5032e-07
375.4	4.2449e-07
375.6	4.0014e-07
375.8	3.7718e-07
376.0	3.529e-07
376.2	3.1952e-07
376.4	2.8929e-07
376.6	2.6193e-07
376.8	2.3715e-07
377.0	2.1471e-07
377.2	1.944e-07
377.4	1.7601e-07
377.6	1.5936e-07
377.8	1.4429e-07
378.0	1.3064e-07
378.2	1.1828e-07
378.4	1.0709e-07
378.6	9.6959e-08
378.8	8.7787e-08
379.0	7.9482e-08
379.2	7.1963e-08
379.4	6.5156e-08
379.6	5.8992e-08
379.8	6.1235e-08
380.0	6.4021e-08
380.2	6.6935e-08
380.4	6.9981e-08
380.6	7.3165e-08
380.8	7.6495e-08
381.0	7.9976e-08
381.2	8.3615e-08
381.4	8.742e-08
381.6	9.1399e-08
381.8	9.5558e-08
382.0	9.9906e-08
382.2	1.0445e-07
382.4	1.0921e-07
382.6	1.1418e-07
382.8	1.1937e-07
383.0	1.2669e-07
383.2	1.3674e-07
383.4	1.4759e-07
383.6	1.593e-07
383.8	1.7194e-07
384.0	1.8558e-07
384.2	2.003e-07
384.4	2.1619e-07
384.6	2.3335e-07
384.8	2.5186e-07
385.0	2.7184e-07
385.2	2.9341e-07
385.4	3.1669e-07
385.6	3.4182e-07
385.8	3.0124e-07
386.0	2.6236e-07
386.2	2.2849e-07
386.4	1.99e-07
386.6	1.7332e-07
386.8	1.5095e-07
387.0	1.3146e-07
387.2	1.145e-07
387.4	9.9719e-08
387.6	8.6848e-08
387.8	7.5639e-08
388.0	6.5876e-08
388.2	5.7374e-08
388.4	5.3002e-08
388.6	5.3029e-08
388.8	5.3056e-08
389.0	5.3083e-08
389.2	5.311e-08
389.4	5.3137e-08
389.6	5.3163e-08
389.8	5.319e-08
390.0	5.3217e-08
390.2	5.3244e-08
390.4	5.3271e-08
390.6	5.3298e-08
390.8	5.1354e-08
391.0	4.8509e-08
391.2	4.5821e-08
391.4	4.3283e-08
391.6	4.0885e-08
391.8	3.862e-08
392.0	3.648e-08
392.2	3.4459e-08
392.4	3.255e-08
392.6	3.0747e-08
392.8	2.9043e-08
393.0	2.7434e-08
393.2	2.5914e-08
393.4	2.4479e-08
393.6	2.2874e-08
393.8	2.1373e-08
394.0	1.997e-08
394.2	1.866e-08
394.4	1.7435e-08
394.6	1.6291e-08
394.8	1.5221e-08
395.0	1.4222e-08
395.2	1.3289e-08
395.4	1.2417e-08
395.6	1.1602e-08
395.8	1.084e-08
396.0	1.0129e-08
396.2	9.464e-09
396.4	8.8429e-09
396.6	8.2625e-09
396.8	7.7202e-09
397.0	7.4546e-09
397.2	7.9443e-09
397.4	8.4661e-09
397.6	9.0222e-09
397.8	9.6149e-09
398.0	1.0246e-08
398.2	1.092e-08
398.4	1.1637e-08
398.6	1.2401e-08
398.8	1.3216e-08
399.0	1.4084e-08
399.2	1.5009e-08
399.4	1.5995e-08
399.6	1.7046e-08
399.8	1.8165e-08
400.0	1.9359e-08
400.2	2.063e-08
400.4	2.1986e-08
400.6	2.343e-08
400.8	2.4969e-08
401.0	2.6609e-08
401.2	2.8357e-08
401.4	3.022e-08
401.6	3.2205e-08
401.8	3.432e-08
402.0	3.6398e-08
402.2	3.8062e-08
402.4	3.9801e-08
402.6	4.162e-08
402.8	4.3522e-08
403.0	4.5512e-08
403.2	4.7591e-08
403.4	4.9767e-08
403.6	5.2041e-08
403.8	5.4419e-08
404.0	5.6906e-08
404.2	5.9507e-08
404.4	6.2227e-08
404.6	6.5071e-08
404.8	6.8045e-08
405.0	7.1154e-08
405.2	7.4406e-08
405.4	7.7807e-08
405.6	8.1363e-08
405.8	8.5081e-08
406.0	8.8969e-08
406.2	9.3036e-08
406.4	9.7287e-08
406.6	1.0173e-07
406.8	1.0638e-07
407.0	1.1032e-07
407.2	1.1171e-07
407.4	1.1312e-07
407.6	1.1455e-07
407.8	1.1599e-07
408.0	1.1745e-07
408.2	1.1894e-07
408.4	1.2044e-07
408.6	1.2195e-07
408.8	1.2349e-07
409.0	1.2505e-07
409.2	1.2663e-07
409.4	1.2822e-07
409.6	1.2984e-07
409.8	1.3148e-07
410.0	1.3314e-07
410.2	1.3482e-07
410.4	1.3652e-07
410.6	1.3824e-07
410.8	1.3998e-07
411.0	1.4175e-07
411.2	1.4354e-07
411.4	1.4535e-07
411.6	1.4718e-07
411.8	1.4904e-07
412.0	1.4538e-07
412.2	1.2716e-07
412.4	1.1122e-07
412.6	9.7277e-08
412.8	8.5083e-08
413.0	7.4417e-08
413.2	6.5089e-08
413.4	5.6929e-08
413.6	4.9793e-08
413.8	4.3551e-08
414.0	3.8092e-08
414.2	3.3317e-08
414.4	2.914e-08
414.6	2.5488e-08
414.8	2.2293e-08
415.0	1.9498e-08
415.2	1.7054e-08
415.4	1.4916e-08
415.6	1.3046e-08
415.8	1.1411e-08
416.0	9.9805e-09
416.2	8.7294e-09
416.4	7.6351e-09
416.6	6.678e-09
416.8	5.8409e-09
417.0	5.3119e-09
417.2	5.4305e-09
417.4	5.5518e-09
417.6	5.6757e-09
417.8	5.8025e-09
418.0	5.9321e-09
418.2	6.0645e-09
418.4	6.1999e-09
418.6	6.3384e-09
418.8	6.4799e-09
419.0	6.6246e-09
419.2	6.7725e-09
419.4	6.9237e-09
419.6	7.0783e-09
419.8	7.2364e-09
420.0	7.398e-09
420.2	7.5632e-09
420.4	7.7321e-09
420.6	7.9047e-09
420.8	8.0812e-09
421.0	8.2617e-09
421.2	8.4462e-09
421.4	8.6348e-09
421.6	8.8276e-09
421.8	9.0247e-09
422.0	9.1044e-09
422.2	8.8261e-09
422.4	8.5562e-09
422.6	8.2946e-09
422.8	8.041e-09
423.0	7.7952e-09
423.2	7.5568e-09
423.4	7.3258e-09
423.6	7.1018e-09
423.8	6.8847e-09
424.0	6.6742e-09
424.2	6.4701e-09
424.4	6.2723e-09
424.6	6.0805e-09
